scenario,timing,lam,snr
S1_null,strategic,0.0,1.018
S1_null,regular,0.0,1.046
S1_null,late,0.0,0.985
S2a_idio_lam0.15,strategic,0.15,1.047
S2a_idio_lam0.15,regular,0.15,1.043
S2a_idio_lam0.15,late,0.15,1.042
S2b_common_lam0.04,strategic,0.04,1.104
S2b_common_lam0.04,regular,0.04,1.131
S2b_common_lam0.04,late,0.04,1.065
S2b_common_lam0.06,strategic,0.06,1.02
S2b_common_lam0.06,regular,0.06,1.105
S2b_common_lam0.06,late,0.06,1.085
S3_curve,strategic,0.0,1.015
S3_curve,strategic,0.02,1.042
S3_curve,strategic,0.04,1.077
S3_curve,strategic,0.06,1.239
S3_curve,strategic,0.08,1.274
S3_curve,strategic,0.1,1.445
S3_curve,strategic,0.12,1.761
S3_curve,strategic,0.14,1.787
S3_curve,strategic,0.16,1.887
S3_curve,strategic,0.18,1.982
S3_curve,strategic,0.2,2.152
S3_curve,strategic,0.22,2.348
S3_curve,strategic,0.24,2.698
S3_curve,regular,0.0,0.979
S3_curve,regular,0.02,0.964
S3_curve,regular,0.04,1.038
S3_curve,regular,0.06,1.095
S3_curve,regular,0.08,1.329
S3_curve,regular,0.1,1.324
S3_curve,regular,0.12,1.45
S3_curve,regular,0.14,1.523
S3_curve,regular,0.16,1.61
S3_curve,regular,0.18,1.787
S3_curve,regular,0.2,1.724
S3_curve,regular,0.22,1.985
S3_curve,regular,0.24,2.342
S3_curve,late,0.0,0.932
S3_curve,late,0.02,0.965
S3_curve,late,0.04,1.111
S3_curve,late,0.06,0.934
S3_curve,late,0.08,1.182
S3_curve,late,0.1,1.157
S3_curve,late,0.12,1.223
S3_curve,late,0.14,1.384
S3_curve,late,0.16,1.275
S3_curve,late,0.18,1.432
S3_curve,late,0.2,1.477
S3_curve,late,0.22,1.728
S3_curve,late,0.24,1.875
S3_needed,strategic,0.0244,1.05
S3_needed,regular,0.1508,1.57
S3_needed,late,0.213,1.64
