comp,n,naive,naive_se,null,null_se,corrected,corrected_se,p_corrected,source
WC22,271,0.2730885986776865,0.013601915928666277,0.20757283847816518,0.005119286673570165,0.000738307898525097,0.014468589020184636,0.9593419785115525,open data (recomputed 2026-07-26)
Euro24,196,0.27449740602463324,0.01829916795811264,0.20878842046584165,0.006628099970172077,0.035101675095567816,0.01885259721078507,0.06417768292096372,open data (recomputed 2026-07-26)
Euro20,181,0.29389965477778757,0.017853884644641403,0.210542399207189,0.00664274166402728,0.004230091207114902,0.018903234246555198,0.8231896375717657,open data (recomputed 2026-07-26)
ISL,404,0.303434721917122,0.011160248317000875,0.22009945885992538,0.004934937844051134,0.0034309472125607123,0.011946029390539679,0.7741182276925826,open data (recomputed 2026-07-26)
WSL,442,0.24715000982855959,0.011677705532777425,0.21261220802745776,0.0045513225551608244,-0.008034184873975793,0.011916599465073478,0.5005552306220427,open data (recomputed 2026-07-26)
Bund23,113,0.3090352011445469,0.022400639740441205,0.22367422470499385,0.00852600284472162,0.033072744464769196,0.021934077315620453,0.13454634829772968,open data (recomputed 2026-07-26)
Bund15,108,0.2436587426410839,0.02294369295361737,0.1937624741620988,0.008363890111491877,-0.006896837321865568,0.02400588121605137,0.7744559519834697,open data (recomputed 2026-07-26)
LaLiga15,1364,0.26347344154340235,0.006629773240508135,0.20662494232653644,0.0025211970603976745,-0.004979167002102733,0.006937249251056008,0.473042617457499,open data (recomputed 2026-07-26)
PL15,1237,0.27184506859490326,0.0068356604943037025,0.2110511517998496,0.002666862608537117,0.012154044877345166,0.007024721594542225,0.08385491821915658,open data (recomputed 2026-07-26)
SerieA15,1340,0.24249155615319873,0.00654696468464346,0.20714604070538992,0.002436866812356626,-0.012733387371622388,0.0067076393279167715,0.05787127302276218,open data (recomputed 2026-07-26)
LaLiga23,1461,0.28436835516636927,0.0060074657087478495,,,-4.967371054946163e-05,0.006007903738098248,0.993404247036078,frozen bias_predictability.csv (main dataset)
