level,m,s_in,s_out,b0,theory,sim,rel_err,ident_err
L1,100,0.1,0.2,0,0.2183,0.2103,0.038,
L1,100,0.2,0.1,0,0.3403,0.3385,0.0052,
L1,100,0.05,0.25,0,0.1419,0.1334,0.0638,
L1,100,0.3,0.15,0,0.4638,0.4612,0.0057,
L1,300,0.1,0.2,0,0.3453,0.3364,0.0266,
L1,300,0.2,0.1,0,0.5115,0.5065,0.0098,
L1,300,0.05,0.25,0,0.2072,0.1923,0.0769,
L1,300,0.3,0.15,0,0.6333,0.6313,0.0032,
L2,60,0.08,0.08,0,0.3051,0.3034,0.0057,0.1214
L2,60,0.15,0.15,0,0.4504,0.4311,0.0448,0.0858
L2,60,0.25,0.25,0,0.6251,0.5822,0.0737,0.031
L2,150,0.08,0.08,0,0.3442,0.3357,0.0254,0.0745
L2,150,0.15,0.15,0,0.5324,0.5046,0.0551,0.017
L2,150,0.25,0.25,0,0.7741,0.6659,0.1624,0.0062
L2,400,0.08,0.08,0,0.4242,0.4094,0.0362,0.0126
L2,400,0.15,0.15,0,0.7029,0.6124,0.1479,0.0079
L2,400,0.25,0.25,0,1.0,0.7894,0.2668,0.0001
L2_b0,60,0.08,0.08,1,0.2796,0.2879,0.0288,
L2_b0,60,0.15,0.15,1,0.3886,0.3804,0.0215,
L2_b0,60,0.25,0.25,1,0.4984,0.4886,0.0201,
L2_b0,150,0.08,0.08,1,0.2854,0.2833,0.0074,
L2_b0,150,0.15,0.15,1,0.393,0.3891,0.01,
L2_b0,150,0.25,0.25,1,0.4951,0.4942,0.0018,
L2_b0,400,0.08,0.08,1,0.2854,0.2929,0.0257,
L2_b0,400,0.15,0.15,1,0.3886,0.391,0.0062,
L2_b0,400,0.25,0.25,1,0.4984,0.5018,0.0068,
