outcome,label,n,beta,p,q
d_terr,territory (mean x) delta,1490,1.5908823910409344,5.767961479988572e-05,0.0006344757627987429
d_prog,forward-pass share delta,1490,-0.006214303238858558,0.0893539124846,0.49144651866530004
d_compl,pass completion delta,1490,0.004497808908904048,0.2049842337820057,0.4921505112335548
net_after,net goals after post-window,1490,0.029740729562512343,0.25232124466148165,0.4921505112335548
opp_d_terr,opponent territory delta,1489,-0.47326564424335177,0.26462343535287014,0.4921505112335548
opp_d_compl,opponent completion delta (defensive disruption),1490,0.00435266023360855,0.2684457334001208,0.4921505112335548
win,final result,1490,0.007112311329874343,0.4599803901819839,0.6953593051977696
d_vol,pass volume delta,1490,0.6805435413876963,0.5057158583256506,0.6953593051977696
net_rem,net goals remaining,1490,0.013713512883356302,0.6851128348983022,0.835287470773997
d_poss,possession share delta,1490,0.0016969984324270054,0.7680646786802137,0.835287470773997
next_for,scores next goal,860,-0.02249845076894157,0.835287470773997,0.835287470773997
