comp,timing,n,snr_incl,snr_excl
WC22,strategic,69,1.0583492793884255,1.0372897512754908
WC22,regular,85,2.166570015657819,2.0897035441150527
WC22,late,43,1.9365702754037701,1.7764717502088405
Euro24,strategic,57,1.0645687581983947,1.0076014516259324
Euro24,regular,99,2.210085457336078,2.147222815173613
Euro24,late,35,1.4830693693811616,1.5007133474520358
Euro20,strategic,46,1.0522120456693853,0.9671179785996844
Euro20,regular,100,1.161017705274248,1.0735520417593283
Euro20,late,23,1.3939850666932252,1.268714370452196
ISL,strategic,129,1.1021260222171416,1.1710815702526036
ISL,regular,184,1.3632289390924006,1.296491349315622
ISL,late,67,1.4418323885216262,1.4614034210783844
WSL,strategic,136,1.0210757432471533,0.9497887974960094
WSL,regular,234,1.1333755297033608,1.136336632764085
WSL,late,63,1.2789651325043139,1.1501682590498175
Bund23,strategic,25,1.1676335133130231,1.1426837414413793
Bund23,regular,68,1.2471972854208986,1.2474890280590627
Bund23,late,16,1.7040856881501498,1.6134163321564834
Bund15,strategic,45,1.11429634483331,1.098943534060606
Bund15,regular,39,1.7843425902633456,1.7058392555793176
Bund15,late,15,1.7231241252621694,1.6332341364317788
LaLiga15,strategic,399,0.9816613625735362,1.0442316404949896
LaLiga15,regular,811,1.4234775953365675,1.3405187781177668
LaLiga15,late,126,1.2005800962122177,1.1963388039917064
PL15,strategic,356,1.1428546177797168,1.0952979834500631
PL15,regular,675,1.3288873235784677,1.3443191246690112
PL15,late,184,1.2981633263507684,1.2455287500866192
SerieA15,strategic,415,0.9519802691384232,0.9535430578845238
SerieA15,regular,726,1.334885618749614,1.253008305154859
SerieA15,late,182,1.5960482497036603,1.435999276676158
