config,comp,timing,n,snr_excl
W15_6x4_noOT,WC22,strategic,72,1.091
W15_6x4_noOT,WC22,regular,86,2.3
W15_6x4_noOT,WC22,late,51,1.473
W15_6x4_noOT,Euro24,strategic,57,0.962
W15_6x4_noOT,Euro24,regular,104,2.03
W15_6x4_noOT,Euro24,late,36,1.492
W15_6x4_noOT,Euro20,strategic,48,0.998
W15_6x4_noOT,Euro20,regular,107,1.165
W15_6x4_noOT,Euro20,late,24,1.576
W15_6x4_noOT,ISL,strategic,132,1.321
W15_6x4_noOT,ISL,regular,219,1.346
W15_6x4_noOT,ISL,late,82,1.4
W15_6x4_noOT,WSL,strategic,141,1.079
W15_6x4_noOT,WSL,regular,252,1.075
W15_6x4_noOT,WSL,late,78,1.368
W15_6x4_noOT,Bund23,strategic,25,1.183
W15_6x4_noOT,Bund23,regular,71,1.401
W15_6x4_noOT,Bund23,late,18,1.53
W15_6x4_noOT,Bund15,strategic,45,1.164
W15_6x4_noOT,Bund15,regular,41,1.631
W15_6x4_noOT,Bund15,late,16,1.407
W15_6x4_noOT,LaLiga15,strategic,409,1.089
W15_6x4_noOT,LaLiga15,regular,850,1.438
W15_6x4_noOT,LaLiga15,late,137,1.256
W15_6x4_noOT,PL15,strategic,363,1.051
W15_6x4_noOT,PL15,regular,703,1.22
W15_6x4_noOT,PL15,late,198,1.441
W15_6x4_noOT,SerieA15,strategic,421,1.063
W15_6x4_noOT,SerieA15,regular,752,1.397
W15_6x4_noOT,SerieA15,late,203,1.543
