layer,metric,n_pairs,mean,sd,p_ttest
P,density,625,0.0017944285984424738,0.019287659828686743,0.020344659712507113
P,clustering,625,0.002468677044734285,0.09456364462744898,0.5142225518202844
P,betweenness,625,0.0011688662818662816,0.056394356901127006,0.6045258943751399
P,lambda2,625,-0.03581697506178816,1.1016988224641286,0.4166616732247119
P,efficiency,625,0.03260530927128787,0.4428709104743561,0.06615995818213176
Z,density,624,0.00021591780323618732,0.002828051216872433,0.056955887085981205
Z,clustering,624,0.0038386344785997415,0.05103273123514039,0.06071498167859258
Z,betweenness,624,0.0010682473677613724,0.03524445869367331,0.44925527880278304
Z,lambda2,624,-0.00946760593414517,0.19716437005275508,0.2307855141143797
Z,efficiency,624,0.00861181277575182,0.13287929122911166,0.10596721394671259
