comp,n,real,null,delta
WC22,271,0.2730885986776865,0.20757283847816518,0.0655157601995213
Euro24,196,0.27449740602463324,0.20878842046584165,0.0657089855587916
Euro20,181,0.29389965477778757,0.210542399207189,0.08335725557059856
ISL,404,0.30343472191712206,0.22009945885992538,0.08333526305719668
WSL,442,0.24715000982855959,0.21261220802745776,0.03453780180110183
Bund23,113,0.3090352011445469,0.22367422470499387,0.08536097643955304
Bund15,108,0.24365874264108392,0.1937624741620988,0.04989626847898512
LaLiga15,1364,0.26347344154340235,0.20661000955329806,0.056863431990104296
PL15,1237,0.27184506859490326,0.21104777785040021,0.060797290744503046
SerieA15,1340,0.24249155615319873,0.20704621893786596,0.03544533721533277
