analysis,scope,layer,n,N_resample,snr_excl,p,obs_mag,null_mag,note
main_split,laliga,early_halftime,192,73.0,1.061,0.3375,0.09356,0.08818,rule: period=2 & minute_first=45 & t_sec_first<=60
main_split,laliga,early_inplay_46_60,233,73.0,1.059,0.3525,0.09413,0.08889,
main_split,laliga,early_all(sanity),425,73.0,1.052,0.39,0.08688,0.08257,compare control_robustness all/strategic=1.052
main_split,laliga,mid_61_75(ref),404,73.0,1.618,0.005,0.14783,0.09138,reference row; control_robustness=1.561
main_split,laliga,late_gt75(ref),73,73.0,1.589,0.0025,0.18118,0.11404,reference row; control_robustness=1.594
cutpoint,cut55_Nmin,early_le55,249,73.0,1.056,0.36,0.09068,0.08585,
cutpoint,cut55_N73,early_le55,249,73.0,,,,,same as Nmin variant (Nmin=73)
cutpoint,cut55_Nmin,mid_56_75,580,73.0,1.465,0.025,0.1264,0.08626,
cutpoint,cut55_N73,mid_56_75,580,73.0,,,,,same as Nmin variant (Nmin=73)
cutpoint,cut55_Nmin,late_gt75,73,73.0,1.589,0.0025,0.18118,0.11404,
cutpoint,cut55_N73,late_gt75,73,73.0,,,,,same as Nmin variant (Nmin=73)
cutpoint,cut58_Nmin,early_le58,337,73.0,1.049,0.3725,0.08855,0.0844,
cutpoint,cut58_N73,early_le58,337,73.0,,,,,same as Nmin variant (Nmin=73)
cutpoint,cut58_Nmin,mid_59_75,492,73.0,1.556,0.015,0.13812,0.08879,
cutpoint,cut58_N73,mid_59_75,492,73.0,,,,,same as Nmin variant (Nmin=73)
cutpoint,cut58_Nmin,late_gt75,73,73.0,1.589,0.0025,0.18118,0.11404,
cutpoint,cut58_N73,late_gt75,73,73.0,,,,,same as Nmin variant (Nmin=73)
cutpoint,cut60_Nmin,early_le60,425,73.0,1.052,0.39,0.08688,0.08257,
cutpoint,cut60_N73,early_le60,425,73.0,,,,,same as Nmin variant (Nmin=73)
cutpoint,cut60_Nmin,mid_61_75,404,73.0,1.618,0.005,0.14783,0.09138,
cutpoint,cut60_N73,mid_61_75,404,73.0,,,,,same as Nmin variant (Nmin=73)
cutpoint,cut60_Nmin,late_gt75,73,73.0,1.589,0.0025,0.18118,0.11404,
cutpoint,cut60_N73,late_gt75,73,73.0,,,,,same as Nmin variant (Nmin=73)
cutpoint,cut62_Nmin,early_le62,518,73.0,1.028,0.41,0.08481,0.08251,
cutpoint,cut62_N73,early_le62,518,73.0,,,,,same as Nmin variant (Nmin=73)
cutpoint,cut62_Nmin,mid_63_75,311,73.0,1.867,0.0,0.17699,0.09481,
cutpoint,cut62_N73,mid_63_75,311,73.0,,,,,same as Nmin variant (Nmin=73)
cutpoint,cut62_Nmin,late_gt75,73,73.0,1.589,0.0025,0.18118,0.11404,
cutpoint,cut62_N73,late_gt75,73,73.0,,,,,same as Nmin variant (Nmin=73)
cutpoint,cut65_Nmin,early_le65,619,73.0,1.084,0.31,0.08774,0.08095,
cutpoint,cut65_N73,early_le65,619,73.0,,,,,same as Nmin variant (Nmin=73)
cutpoint,cut65_Nmin,mid_66_75,210,73.0,1.943,0.0,0.19946,0.10264,
cutpoint,cut65_N73,mid_66_75,210,73.0,,,,,same as Nmin variant (Nmin=73)
cutpoint,cut65_Nmin,late_gt75,73,73.0,1.589,0.0025,0.18118,0.11404,
cutpoint,cut65_N73,late_gt75,73,73.0,,,,,same as Nmin variant (Nmin=73)
opendata_split,WC22,halftime,37,32.0,0.99,0.4825,0.13605,0.13747,
opendata_split,WC22,inplay_46_60,32,32.0,1.223,0.155,0.17031,0.13925,
opendata_split,WC22,regular,85,32.0,1.922,0.0,0.24008,0.12494,
opendata_split,WC22,late,43,32.0,1.674,0.0125,0.23741,0.14181,
opendata_split,Euro24,halftime,28,28.0,0.995,0.485,0.16212,0.16293,"thin n, unreliable"
opendata_split,Euro24,inplay_46_60,29,28.0,1.018,0.4375,0.16333,0.16045,"thin n, unreliable"
opendata_split,Euro24,regular,99,28.0,2.053,0.0,0.27656,0.13473,
opendata_split,Euro24,late,35,28.0,1.438,0.0475,0.24543,0.17071,
opendata_split,Euro20,halftime,24,22.0,1.001,0.4675,0.18074,0.18053,"thin n, unreliable"
opendata_split,Euro20,inplay_46_60,22,22.0,1.091,0.3225,0.17365,0.15922,"thin n, unreliable"
opendata_split,Euro20,regular,100,22.0,1.094,0.325,0.15626,0.14287,
opendata_split,Euro20,late,23,22.0,1.271,0.135,0.22861,0.17985,"thin n, unreliable"
opendata_split,ISL,halftime,65,64.0,0.968,0.53,0.11807,0.12195,
opendata_split,ISL,inplay_46_60,64,64.0,1.507,0.005,0.18218,0.12086,
opendata_split,ISL,regular,184,64.0,1.266,0.0875,0.12654,0.09992,
opendata_split,ISL,late,67,64.0,1.409,0.025,0.16411,0.11649,
opendata_split,WSL,halftime,57,57.0,1.042,0.3675,0.12093,0.11609,
opendata_split,WSL,inplay_46_60,79,57.0,0.996,0.4875,0.11533,0.11576,
opendata_split,WSL,regular,234,57.0,1.086,0.315,0.11422,0.10514,
opendata_split,WSL,late,63,57.0,1.185,0.17,0.15371,0.12967,
opendata_split,Bund23,halftime,12,12.0,1.338,0.08,0.30797,0.23014,"thin n, unreliable"
opendata_split,Bund23,inplay_46_60,13,12.0,1.059,0.3625,0.25496,0.24083,"thin n, unreliable"
opendata_split,Bund23,regular,68,12.0,1.184,0.1775,0.21237,0.1793,
opendata_split,Bund23,late,16,12.0,1.583,0.045,0.33737,0.21311,"thin n, unreliable"
opendata_split,Bund15,halftime,18,15.0,1.058,0.3525,0.23049,0.21779,"thin n, unreliable"
opendata_split,Bund15,inplay_46_60,27,15.0,1.155,0.1975,0.24264,0.21012,"thin n, unreliable"
opendata_split,Bund15,regular,39,15.0,1.699,0.0025,0.34148,0.20098,
opendata_split,Bund15,late,15,15.0,1.604,0.0025,0.41464,0.25845,"thin n, unreliable"
opendata_split,LaLiga15,halftime,131,126.0,1.076,0.3275,0.0849,0.07891,
opendata_split,LaLiga15,inplay_46_60,268,126.0,1.016,0.4575,0.06663,0.06559,
opendata_split,LaLiga15,regular,811,126.0,1.374,0.0375,0.07833,0.05699,
opendata_split,LaLiga15,late,126,126.0,1.201,0.15,0.09464,0.07877,
opendata_split,PL15,halftime,159,159.0,0.902,0.68,0.06122,0.06787,
opendata_split,PL15,inplay_46_60,197,159.0,1.118,0.2325,0.07473,0.06687,
opendata_split,PL15,regular,675,159.0,1.302,0.06,0.07281,0.05594,
opendata_split,PL15,late,184,159.0,1.231,0.1075,0.08627,0.07005,
opendata_split,SerieA15,halftime,110,110.0,0.945,0.5875,0.07364,0.07792,
opendata_split,SerieA15,inplay_46_60,305,110.0,0.966,0.5275,0.06219,0.06438,
opendata_split,SerieA15,regular,726,110.0,1.187,0.17,0.07357,0.062,
opendata_split,SerieA15,late,182,110.0,1.365,0.04,0.10206,0.07478,
opendata_split,pooled,direction_late>ht,10,,,,,,"10/10, binom p=0.0020"
opendata_split,pooled,direction_late>ip,10,,,,,,"9/10, binom p=0.0215"
opendata_split,pooled,direction_mid>ht,10,,,,,,"9/10, binom p=0.0215"
opendata_split,pooled,direction_mid>ip,10,,,,,,"9/10, binom p=0.0215"
placebo,laliga,placebo_ht_nosub,357,73.0,1.115,0.27,0.06461,0.05794,"pre=last 15' H1, post=first 15' H2, no team sub within +/-15min"
placebo,laliga,placebo_inplay60_nosub,22,22.0,1.018,0.4275,0.12807,0.12576,"centre=60' (inside H2), same no-sub rule layer n=22<73, using N=22"
placebo,laliga,treated_ht_raw_excl,192,73.0,1.007,0.4475,0.06484,0.06442,"treated halftime layer, teammates-only, no DiD; same scale as placebo_ht"
