factor,split,bin,minute_mid,n,mean,se
__all__,all,0,45.0,253,-0.07158474743554447,0.03739269671483707
__all__,all,1,59.0,277,-0.039247864878996806,0.04228033225440422
__all__,all,2,65.0,266,0.014319788248778576,0.04116359319245955
__all__,all,3,69.0,206,0.05509166778179228,0.05216145080256857
__all__,all,4,74.0,290,0.014849068178039842,0.041392226004334724
__all__,all,5,78.0,198,0.04807284173646106,0.0549172281940845
pre_btw_Z,high,0,45.0,123,-0.09144021893378004,0.047764624871624334
pre_btw_Z,high,1,59.0,156,-0.08470081026854547,0.04939010749709326
pre_btw_Z,high,2,65.0,117,-0.17328368400560198,0.04921186886901314
pre_btw_Z,high,3,69.0,96,-0.03352976644328518,0.06311010498405449
pre_btw_Z,high,4,74.0,157,-0.031022855228361033,0.047429684496591934
pre_btw_Z,high,5,78.0,95,-0.053051607807376375,0.06896955133039653
pre_btw_Z,low,0,45.0,130,-0.05279841671029084,0.057171746129898296
pre_btw_Z,low,1,59.0,121,0.019352626697611376,0.07279615072315795
pre_btw_Z,low,2,65.0,149,0.16163258189819146,0.05993720478765955
pre_btw_Z,low,3,69.0,110,0.1324340103782235,0.0802229079593535
pre_btw_Z,low,4,74.0,133,0.06899863189837767,0.07070911177069236
pre_btw_Z,low,5,78.0,103,0.14134296510213634,0.0835239826768744
trailing,high,0,45.0,114,-0.0738265154271099,0.056618303750229824
trailing,high,1,59.0,116,0.011927501414428783,0.06303522156334687
trailing,high,2,65.0,93,-0.045456739862486654,0.06583816635459452
trailing,high,3,69.0,69,-0.151877321391041,0.07411209572590932
trailing,high,4,74.0,89,-0.178171309345627,0.06197448541649392
trailing,high,5,78.0,72,-0.1721503574419657,0.0748622851541172
trailing,low,0,45.0,139,-0.0697461751259153,0.049944458072338015
trailing,low,1,59.0,161,-0.07611955736370095,0.056810702676919816
trailing,low,2,65.0,173,0.04645399122188645,0.05244487578904139
trailing,low,3,69.0,137,0.15933152364256228,0.06741742629264634
trailing,low,4,74.0,201,0.10031580250443961,0.052006393822133755
trailing,low,5,78.0,126,0.17391466983841922,0.07281267242651449
margin,high,0,45.0,43,-0.1881360441131491,0.08220443021575422
margin,high,1,59.0,71,-0.10395159819102968,0.07564612202624281
margin,high,2,65.0,81,0.05225903576130461,0.07880313664410728
margin,high,3,69.0,66,0.09350461574960804,0.10842548124878673
margin,high,4,74.0,96,0.11517967855926999,0.07196503360506554
margin,high,5,78.0,66,0.1991282194885799,0.10373045779475898
margin,low,0,45.0,210,-0.04771948192536831,0.041677247790120574
margin,low,1,59.0,206,-0.016947063591839843,0.0505306710315241
margin,low,2,65.0,185,-0.002291449851300413,0.04818478255135758
margin,low,3,69.0,140,0.036982706596964815,0.05749265907003902
margin,low,4,74.0,194,-0.03479906891782663,0.05034900859968791
margin,low,5,78.0,132,-0.027454847139598382,0.0632688119261767
pre_eff_Z,high,0,45.0,131,-0.07307477553612449,0.04582169733896041
pre_eff_Z,high,1,59.0,155,-0.07243181093937175,0.052770917021856
pre_eff_Z,high,2,65.0,123,-0.12280673340413453,0.050651320698920844
pre_eff_Z,high,3,69.0,97,0.015444808782906268,0.06418979289140765
pre_eff_Z,high,4,74.0,148,-0.03178852180164328,0.052198904826353
pre_eff_Z,high,5,78.0,91,-0.044166857797268734,0.07627944953720028
pre_eff_Z,low,0,45.0,122,-0.06998479922918399,0.06013761140059124
pre_eff_Z,low,1,59.0,122,0.002912066591151696,0.06876680806480938
pre_eff_Z,low,2,65.0,143,0.13226777540478077,0.0614350397019622
pre_eff_Z,low,3,69.0,109,0.09037373496428718,0.08047780026071748
pre_eff_Z,low,4,74.0,142,0.0634572605512307,0.06463921862096275
pre_eff_Z,low,5,78.0,107,0.12651968900346489,0.07774347988221668
pre_dens_Z,high,0,45.0,123,-0.04886895490189964,0.04832962823376523
pre_dens_Z,high,1,59.0,154,-0.05133777081206093,0.05295247595054498
pre_dens_Z,high,2,65.0,125,-0.10034676728558234,0.050522963725645714
pre_dens_Z,high,3,69.0,98,-0.006469799722119049,0.06389388730272016
pre_dens_Z,high,4,74.0,144,0.0012363165185743869,0.0526401406491659
pre_dens_Z,high,5,78.0,96,-0.01905818089973683,0.07875062168460684
pre_dens_Z,low,0,45.0,130,-0.09307738190968537,0.05672995575578554
pre_dens_Z,low,1,59.0,123,-0.024110909483127885,0.06856709777819722
pre_dens_Z,low,2,65.0,141,0.11597453606292833,0.0623646414183959
pre_dens_Z,low,3,69.0,108,0.11095299940571181,0.08076741043616972
pre_dens_Z,low,4,74.0,146,0.02827534378737563,0.06391418264357501
pre_dens_Z,low,5,78.0,102,0.1112549806881767,0.07646791352499076
n_subs,high,0,45.0,18,-0.07910533025407249,0.09403964035475035
n_subs,high,1,59.0,30,0.12735513708447851,0.10916576050134269
n_subs,high,2,65.0,23,0.09060197888995403,0.16258803653517787
n_subs,high,4,74.0,17,-0.02530024389453181,0.1716945719318608
n_subs,low,0,45.0,235,-0.07100870279412533,0.039646859957527966
n_subs,low,1,59.0,247,-0.05948304730371041,0.04542276871254509
n_subs,low,2,65.0,243,0.007099663208667307,0.042439997588421284
n_subs,low,3,69.0,198,0.06084401180041581,0.05346607870232295
n_subs,low,4,74.0,273,0.017349208490251258,0.042724501207955186
n_subs,low,5,78.0,193,0.03832746356355415,0.0558860951127317
pre_clus_Z,high,0,45.0,129,-0.04200839987215032,0.046388783924651865
pre_clus_Z,high,1,59.0,142,-0.07755835985759163,0.0523213243877715
pre_clus_Z,high,2,65.0,130,-0.07745001113043366,0.05119752666104329
pre_clus_Z,high,3,69.0,97,0.07615925975039647,0.07115919719487201
pre_clus_Z,high,4,74.0,144,-0.03315811040382683,0.05022452882767534
pre_clus_Z,high,5,78.0,103,-0.016074147355160454,0.0822482485527384
pre_clus_Z,low,0,45.0,124,-0.10235368965875295,0.05916068012550312
pre_clus_Z,low,1,59.0,135,0.0010491002095992313,0.06709206894154005
pre_clus_Z,low,2,65.0,136,0.10204092000831966,0.06320357060943396
pre_clus_Z,low,3,69.0,109,0.03634344373633714,0.0758159818373333
pre_clus_Z,low,4,74.0,146,0.06219861417659327,0.06555977960864241
pre_clus_Z,low,5,78.0,95,0.11762168254106126,0.07152490757930136
team_str,high,0,45.0,123,-0.061559146775965974,0.053478958709554325
team_str,high,1,59.0,124,-0.023288702186481488,0.05990503944353625
team_str,high,2,65.0,114,-0.035124385958824486,0.05874770905019449
team_str,high,3,69.0,106,0.06086917727800181,0.06878466532393326
team_str,high,4,74.0,142,0.03671999315760224,0.059132659623864874
team_str,high,5,78.0,84,0.19165692416023414,0.08877973714088795
team_str,low,0,45.0,130,-0.08107050805960722,0.05248920790359981
team_str,low,1,59.0,153,-0.05218208823763666,0.05933530805154703
team_str,low,2,65.0,152,0.05140291890448084,0.05697050411674364
team_str,low,3,69.0,100,0.04896750771581014,0.07928538535349668
team_str,low,4,74.0,148,-0.006135197680729493,0.05810388607803917
team_str,low,5,78.0,114,-0.0577259558389507,0.06806383048592955
batch_seq,high,3,69.0,26,-0.09705397847710946,0.10025769848761112
batch_seq,high,4,74.0,65,-0.10210859905575843,0.08104685114671055
batch_seq,high,5,78.0,87,-0.03444051143264016,0.08089890077978414
batch_seq,low,0,45.0,253,-0.07158474743554447,0.03739269671483707
batch_seq,low,1,59.0,275,-0.03719056902232107,0.04256229957229289
batch_seq,low,2,65.0,254,0.012470027101896463,0.042522103787769855
batch_seq,low,3,69.0,180,0.07706826113030028,0.05780963788421772
batch_seq,low,4,74.0,225,0.04863683871224822,0.047792893548457796
batch_seq,low,5,78.0,111,0.1127454698960269,0.07441540413141859
abs_margin,high,0,45.0,51,-0.2102509790041785,0.07931567199259053
abs_margin,high,1,59.0,59,-0.05102188571879403,0.09007190310135711
abs_margin,high,2,65.0,62,-0.0443396855147328,0.08883723503356088
abs_margin,high,3,69.0,57,-0.053822598815565226,0.07764624894702456
abs_margin,high,4,74.0,84,-0.0682558170866106,0.07061112896448149
abs_margin,high,5,78.0,50,0.1638103491381414,0.10315881207147824
abs_margin,low,0,45.0,202,-0.03657495629692898,0.04207393071131565
abs_margin,low,1,59.0,218,-0.03606131795446453,0.04797834905533317
abs_margin,low,2,65.0,204,0.03214766752984574,0.04644080130477777
abs_margin,low,3,69.0,149,0.096756857017023,0.06553886814643774
abs_margin,low,4,74.0,206,0.048736497120906996,0.050574354369506525
abs_margin,low,5,78.0,148,0.008972332479136622,0.06455683533547235
ent_mean,high,0,45.0,134,-0.11525861053764398,0.04664501617363353
ent_mean,high,1,59.0,139,-0.08061822039336149,0.05800343685281493
ent_mean,high,2,65.0,139,0.00749661684553313,0.054126240222156105
ent_mean,high,3,69.0,101,0.12686374923988275,0.07458416229974908
ent_mean,high,4,74.0,141,0.059520105593499587,0.05409708623417618
ent_mean,high,5,78.0,91,-0.002381382254742518,0.08003064541575804
ent_mean,low,0,45.0,119,-0.022405775539062703,0.05956733078821836
ent_mean,low,1,59.0,138,0.002422275820254602,0.06156317459747397
ent_mean,low,2,65.0,127,0.021787668760992064,0.06286054693070238
ent_mean,low,3,69.0,105,-0.01394623914456141,0.07268724625215646
ent_mean,low,4,74.0,149,-0.027423524275516028,0.0621856923849853
ent_mean,low,5,78.0,107,0.09098250886916685,0.07555907025321892
