block,timing,lam,snr,snr_sd,n_seeds,N_boot,value,lo95,hi95,note
curve_47replay,strategic,0.0,1.0153748351921434,,,,,,,
curve_47replay,strategic,0.02,1.042392151288172,,,,,,,
curve_47replay,strategic,0.04,1.0772272889544572,,,,,,,
curve_47replay,strategic,0.06,1.2392837658695983,,,,,,,
curve_47replay,strategic,0.08,1.2735583296862683,,,,,,,
curve_47replay,strategic,0.1,1.4449207086554325,,,,,,,
curve_47replay,strategic,0.12,1.7613759949539844,,,,,,,
curve_47replay,strategic,0.14,1.7874553902403438,,,,,,,
curve_47replay,strategic,0.16,1.8868707983793842,,,,,,,
curve_47replay,strategic,0.18,1.981893464200852,,,,,,,
curve_47replay,strategic,0.2,2.151752241321175,,,,,,,
curve_47replay,strategic,0.22,2.3480964553798436,,,,,,,
curve_47replay,strategic,0.24,2.698048652613306,,,,,,,
curve_47replay,regular,0.0,0.9790695455185788,,,,,,,
curve_47replay,regular,0.02,0.9643389949776039,,,,,,,
curve_47replay,regular,0.04,1.0378344057384277,,,,,,,
curve_47replay,regular,0.06,1.0946486668624207,,,,,,,
curve_47replay,regular,0.08,1.3285832688441186,,,,,,,
curve_47replay,regular,0.1,1.3243416687762979,,,,,,,
curve_47replay,regular,0.12,1.450057805634788,,,,,,,
curve_47replay,regular,0.14,1.522802897346033,,,,,,,
curve_47replay,regular,0.16,1.610447916616222,,,,,,,
curve_47replay,regular,0.18,1.7867095110695608,,,,,,,
curve_47replay,regular,0.2,1.7241112734396367,,,,,,,
curve_47replay,regular,0.22,1.9852460189759773,,,,,,,
curve_47replay,regular,0.24,2.342250912072966,,,,,,,
curve_47replay,late,0.0,0.9318716467541523,,,,,,,
curve_47replay,late,0.02,0.9652006861172898,,,,,,,
curve_47replay,late,0.04,1.1105704308160298,,,,,,,
curve_47replay,late,0.06,0.9339098619728917,,,,,,,
curve_47replay,late,0.08,1.1819247891323137,,,,,,,
curve_47replay,late,0.1,1.1572630980972003,,,,,,,
curve_47replay,late,0.12,1.2229879462959148,,,,,,,
curve_47replay,late,0.14,1.38442905659993,,,,,,,
curve_47replay,late,0.16,1.2745963511266132,,,,,,,
curve_47replay,late,0.18,1.431705142913768,,,,,,,
curve_47replay,late,0.2,1.4772282725079025,,,,,,,
curve_47replay,late,0.22,1.7282964992636776,,,,,,,
curve_47replay,late,0.24,1.8748247830041054,,,,,,,
inversion_old_replay,strategic,,1.05,,,,0.0244,,,previous=0.0244; match=True
inversion_old_replay,regular,,1.57,,,,0.1508,,,previous=0.1508; match=True
inversion_old_replay,late,,1.64,,,,0.213,,,previous=0.213; match=True
curve_multiseed,strategic,0.0,0.9901,0.057,24.0,251.0,,,,
curve_multiseed,strategic,0.005,1.0012,0.0497,24.0,251.0,,,,
curve_multiseed,strategic,0.01,1.0004,0.0501,24.0,251.0,,,,
curve_multiseed,strategic,0.015,1.018,0.0532,24.0,251.0,,,,
curve_multiseed,strategic,0.02,1.024,0.06,24.0,251.0,,,,
curve_multiseed,strategic,0.025,1.0379,0.0779,24.0,251.0,,,,
curve_multiseed,strategic,0.03,1.0557,0.0815,24.0,251.0,,,,
curve_multiseed,strategic,0.035,1.1063,0.066,24.0,251.0,,,,
curve_multiseed,strategic,0.04,1.118,0.0725,24.0,251.0,,,,
curve_multiseed,strategic,0.045,1.1073,0.0855,24.0,251.0,,,,
curve_multiseed,strategic,0.05,1.1388,0.0633,24.0,251.0,,,,
curve_multiseed,strategic,0.055,1.1894,0.0901,24.0,251.0,,,,
curve_multiseed,strategic,0.06,1.2006,0.0834,24.0,251.0,,,,
curve_multiseed,strategic,0.065,1.2341,0.1387,24.0,251.0,,,,
curve_multiseed,strategic,0.07,1.2694,0.1358,24.0,251.0,,,,
curve_multiseed,strategic,0.075,1.3213,0.1255,24.0,251.0,,,,
curve_multiseed,strategic,0.08,1.3065,0.1249,24.0,251.0,,,,
curve_multiseed,strategic,0.085,1.377,0.1663,24.0,251.0,,,,
curve_multiseed,strategic,0.09,1.3856,0.1385,24.0,251.0,,,,
curve_multiseed,strategic,0.095,1.4358,0.1529,24.0,251.0,,,,
curve_multiseed,strategic,0.1,1.4853,0.1851,24.0,251.0,,,,
curve_multiseed,strategic,0.105,1.5378,0.1927,24.0,251.0,,,,
curve_multiseed,strategic,0.11,1.6178,0.2359,24.0,251.0,,,,
curve_multiseed,strategic,0.115,1.5951,0.1475,24.0,251.0,,,,
curve_multiseed,strategic,0.12,1.6374,0.2149,24.0,251.0,,,,
curve_multiseed,strategic,0.125,1.6899,0.2383,24.0,251.0,,,,
curve_multiseed,strategic,0.13,1.7287,0.2468,24.0,251.0,,,,
curve_multiseed,strategic,0.135,1.7532,0.254,24.0,251.0,,,,
curve_multiseed,strategic,0.14,1.8467,0.2265,24.0,251.0,,,,
curve_multiseed,strategic,0.145,1.858,0.2505,24.0,251.0,,,,
curve_multiseed,strategic,0.15,1.8813,0.2481,24.0,251.0,,,,
curve_multiseed,strategic,0.155,1.9408,0.2383,24.0,251.0,,,,
curve_multiseed,strategic,0.16,2.0449,0.2633,24.0,251.0,,,,
curve_multiseed,strategic,0.165,2.0215,0.2649,24.0,251.0,,,,
curve_multiseed,strategic,0.17,2.0706,0.2882,24.0,251.0,,,,
curve_multiseed,strategic,0.175,2.1193,0.3543,24.0,251.0,,,,
curve_multiseed,strategic,0.18,2.1906,0.2819,24.0,251.0,,,,
curve_multiseed,strategic,0.185,2.2111,0.3362,24.0,251.0,,,,
curve_multiseed,strategic,0.19,2.2793,0.327,24.0,251.0,,,,
curve_multiseed,strategic,0.195,2.3087,0.369,24.0,251.0,,,,
curve_multiseed,strategic,0.2,2.365,0.315,24.0,251.0,,,,
curve_multiseed,strategic,0.205,2.3765,0.3683,24.0,251.0,,,,
curve_multiseed,strategic,0.21,2.4659,0.3171,24.0,251.0,,,,
curve_multiseed,strategic,0.215,2.4564,0.3787,24.0,251.0,,,,
curve_multiseed,strategic,0.22,2.5297,0.3545,24.0,251.0,,,,
curve_multiseed,strategic,0.225,2.6035,0.4137,24.0,251.0,,,,
curve_multiseed,strategic,0.23,2.6058,0.3996,24.0,251.0,,,,
curve_multiseed,strategic,0.235,2.7288,0.417,24.0,251.0,,,,
curve_multiseed,strategic,0.24,2.7364,0.3892,24.0,251.0,,,,
curve_multiseed,strategic,0.245,2.771,0.39,24.0,251.0,,,,
curve_multiseed,strategic,0.25,2.8007,0.4001,24.0,251.0,,,,
curve_multiseed,strategic,0.255,2.8728,0.4232,24.0,251.0,,,,
curve_multiseed,strategic,0.26,2.8779,0.4297,24.0,251.0,,,,
curve_multiseed,strategic,0.265,2.9671,0.4301,24.0,251.0,,,,
curve_multiseed,strategic,0.27,2.9427,0.4836,24.0,251.0,,,,
curve_multiseed,strategic,0.275,3.0674,0.4373,24.0,251.0,,,,
curve_multiseed,strategic,0.28,3.0978,0.4274,24.0,251.0,,,,
curve_multiseed,strategic,0.285,3.0928,0.4736,24.0,251.0,,,,
curve_multiseed,strategic,0.29,3.1538,0.4734,24.0,251.0,,,,
curve_multiseed,strategic,0.295,3.2195,0.4836,24.0,251.0,,,,
curve_multiseed,strategic,0.3,3.2516,0.4604,24.0,251.0,,,,
curve_multiseed,regular,0.0,1.003,0.0383,24.0,251.0,,,,
curve_multiseed,regular,0.005,0.9832,0.0344,24.0,251.0,,,,
curve_multiseed,regular,0.01,0.9977,0.0352,24.0,251.0,,,,
curve_multiseed,regular,0.015,1.0017,0.0441,24.0,251.0,,,,
curve_multiseed,regular,0.02,1.0133,0.0441,24.0,251.0,,,,
curve_multiseed,regular,0.025,1.0322,0.0435,24.0,251.0,,,,
curve_multiseed,regular,0.03,1.0502,0.0475,24.0,251.0,,,,
curve_multiseed,regular,0.035,1.0653,0.0535,24.0,251.0,,,,
curve_multiseed,regular,0.04,1.0913,0.0617,24.0,251.0,,,,
curve_multiseed,regular,0.045,1.1032,0.0703,24.0,251.0,,,,
curve_multiseed,regular,0.05,1.161,0.0574,24.0,251.0,,,,
curve_multiseed,regular,0.055,1.1686,0.0688,24.0,251.0,,,,
curve_multiseed,regular,0.06,1.2018,0.0829,24.0,251.0,,,,
curve_multiseed,regular,0.065,1.232,0.0939,24.0,251.0,,,,
curve_multiseed,regular,0.07,1.2692,0.1109,24.0,251.0,,,,
curve_multiseed,regular,0.075,1.305,0.1389,24.0,251.0,,,,
curve_multiseed,regular,0.08,1.3226,0.1158,24.0,251.0,,,,
curve_multiseed,regular,0.085,1.3758,0.139,24.0,251.0,,,,
curve_multiseed,regular,0.09,1.4453,0.1534,24.0,251.0,,,,
curve_multiseed,regular,0.095,1.4476,0.1776,24.0,251.0,,,,
curve_multiseed,regular,0.1,1.5042,0.1777,24.0,251.0,,,,
curve_multiseed,regular,0.105,1.5556,0.1842,24.0,251.0,,,,
curve_multiseed,regular,0.11,1.5774,0.2045,24.0,251.0,,,,
curve_multiseed,regular,0.115,1.6025,0.1939,24.0,251.0,,,,
curve_multiseed,regular,0.12,1.6846,0.215,24.0,251.0,,,,
curve_multiseed,regular,0.125,1.7104,0.2133,24.0,251.0,,,,
curve_multiseed,regular,0.13,1.7271,0.1921,24.0,251.0,,,,
curve_multiseed,regular,0.135,1.794,0.2386,24.0,251.0,,,,
curve_multiseed,regular,0.14,1.8252,0.2415,24.0,251.0,,,,
curve_multiseed,regular,0.145,1.8917,0.266,24.0,251.0,,,,
