source,spec,seed,estimator,n,beta_mixed,se_mixed,p_mixed,beta_logvol,p_logvol,beta_ols,p_ols
empirical,LaLiga,,naive,1461,0.079457,0.005635,0.0,-0.010708,0.057407,0.079457,0.0
empirical,LaLiga,,lpo,1461,0.010383,0.005972,0.082088,-0.020508,0.000625,0.01045,0.08154
synthetic_lam0,o=2*vol(touch),20260808.0,naive,1460,0.121386,0.004602,0.0,0.029547,0.0,0.121334,0.0
synthetic_lam0,o=2*vol(touch),20260808.0,lpo,1460,-0.009079,0.005349,0.089647,-0.00176,0.742727,-0.009172,0.086457
synthetic_lam0,o=2*vol(touch),20260809.0,naive,1459,0.131631,0.004758,0.0,0.034546,0.0,0.131637,0.0
synthetic_lam0,o=2*vol(touch),20260809.0,lpo,1459,-0.0033,0.005525,0.55037,-0.002406,0.663143,-0.0033,0.550508
synthetic_lam0,o=2*vol(touch),20260810.0,naive,1457,0.131169,0.004821,0.0,0.028617,0.0,0.131124,0.0
synthetic_lam0,o=2*vol(touch),20260810.0,lpo,1457,0.003554,0.00559,0.524946,-0.00838,0.133745,0.003366,0.547219
synthetic_lam0,o=2*vol(touch),-1.0,naive,4376,0.128006,0.002731,0.0,0.030909,0.0,0.128006,0.0
synthetic_lam0,o=2*vol(touch),-1.0,lpo,4376,-0.00296,0.003166,0.34994,-0.004206,0.18461,-0.002995,0.344479
synthetic_lam0,o=vol(pass),20260808.0,naive,1450,0.122343,0.004795,0.0,0.015124,0.001637,0.12241,0.0
synthetic_lam0,o=vol(pass),20260808.0,lpo,1450,0.00025,0.005483,0.963632,-0.008198,0.134978,0.000264,0.961597
synthetic_lam0,o=vol(pass),20260809.0,naive,1453,0.11754,0.004874,0.0,0.025344,0.0,0.117506,0.0
synthetic_lam0,o=vol(pass),20260809.0,lpo,1453,0.000941,0.005445,0.862732,-0.001511,0.781792,0.000941,0.862869
synthetic_lam0,o=vol(pass),20260810.0,naive,1447,0.12508,0.00489,0.0,0.023906,1e-06,0.12507,0.0
synthetic_lam0,o=vol(pass),20260810.0,lpo,1447,0.004668,0.005646,0.408317,-0.000219,0.968986,0.004668,0.408134
synthetic_lam0,o=vol(pass),-1.0,naive,4350,0.121663,0.002802,0.0,0.021359,0.0,0.121663,0.0
synthetic_lam0,o=vol(pass),-1.0,lpo,4350,0.001926,0.003189,0.545839,-0.003343,0.294533,0.001926,0.545926
