predictor,n,beta_main,p_main,p_main_naive,beta_inter,p_inter,q_main,q_naive,q_inter
pre_btw_Z,1490,-0.0848281553945663,2.0470514746170616e-06,2.186102626281471e-12,-0.013388894394982576,0.6188751452090562,7.369385308621422e-05,7.869969454613296e-11,0.9969163887513932
trailing,1490,-0.06646508449392166,0.00020870458056851412,1.4750094749860379e-07,-0.07873493567731057,0.002279019636262365,0.002501683532521634,6.637542637437171e-07,0.08204470690544514
margin,1490,0.06429925435910509,0.000216225115760557,1.154798014638707e-07,0.057214360601923725,0.040457930335532306,0.002501683532521634,5.938961218141922e-07,0.36412137301979075
pre_eff_Z,1490,-0.06489050101530995,0.0002779648369468482,1.3239597974443665e-09,0.0017727138522900794,0.946052428492766,0.002501683532521634,1.58875175693324e-08,0.9969163887513932
pre_dens_Z,1490,-0.055941003741062825,0.0017571417064350342,2.2438087983673894e-08,0.004858041131620067,0.8533334447687688,0.012651420286332246,1.3462852790204338e-07,0.9969163887513932
n_subs,1490,0.05103793038575551,0.0038773407459482987,0.006660741289565042,0.00478811389012077,0.8607756882261886,0.023264044475689794,0.012232267514793036,0.9969163887513932
pre_clus_Z,1490,-0.042940747183292556,0.0165529445343599,6.902543896090699e-06,-0.017962564532326603,0.5051740768296189,0.08512942903385091,2.4849158025926514e-05,0.9969163887513932
team_str,1490,0.04326828061368664,0.020849524544379206,0.0008332780315031911,0.04120919197617687,0.12303168109989353,0.09382286044970643,0.002142714938151063,0.7381900865993613
batch_seq,1490,-0.04944766261192327,0.02589218884759047,0.0017950661941511076,0.0005318896338704799,0.9854482153826521,0.10356875539036188,0.00380131664643764,0.9969163887513932
abs_margin,1490,-0.042869703339042324,0.03134186293109805,0.03596675726734189,0.021806076881572913,0.4487679839967633,0.11283070655195297,0.05395013590101283,0.9969163887513932
ent_mean,1490,-0.036281919877170776,0.04240040488011344,5.807815293572035e-05,-0.017833473679552944,0.5136297889221213,0.1387649614258258,0.00017423445880716107,0.9969163887513932
pre_eff_P,1490,-0.03513520260800193,0.052127451884800675,1.5909603477306277e-05,0.002596083722690223,0.9232330542884095,0.15638235565440203,5.20677931984569e-05,0.9969163887513932
pre_lam_P,1490,-0.03329285428972204,0.06437243317062136,0.0013025750613000259,0.009909264606057504,0.7197574613329817,0.17826212262633606,0.003126180147120062,0.9969163887513932
pre_vers_P,1490,0.032013035599378285,0.07524461155188218,4.682801961005669e-10,0.010116094431480895,0.6877575969214162,0.19099542113197113,8.429043529810204e-09,0.9969163887513932
leading,1490,0.030987419463221283,0.08379076343605814,0.00012033950279038078,0.07124274506924115,0.009655686477938722,0.19099542113197113,0.00033324785388105446,0.17215257251664098
pre_dens_P,1490,-0.031153577667446378,0.0848868538364316,0.018071467997046634,0.002749625578113663,0.9184272274989222,0.19099542113197113,0.029571493086076307,0.9969163887513932
pre_lam_Z,1490,-0.027614711223723686,0.1228509829795442,0.04499285074817285,0.002729054627084095,0.9197475723398617,0.26015502278021124,0.0647897050773689,0.9969163887513932
pre_btw_P,1490,-0.02571870346887455,0.1619681428559716,2.3933262657737992e-06,-0.008071449278480658,0.7609367076065827,0.2952323694925316,9.573305063095197e-06,0.9969163887513932
minute,1490,0.05183970333085768,0.16401798305140458,0.23109293374626427,0.00011910369984838516,0.9969163887513932,0.2952323694925316,0.27731152049552044,0.9969163887513932
t_remain,1490,-0.05183970333085797,0.16401798305140647,0.23109293374626705,-0.00011910369984857017,0.9969163887513884,0.2952323694925316,0.27731152049552044,0.9969163887513932
pre_vers_Z,1490,0.0240682874849931,0.18060602577864104,0.001409283153546151,-0.003092881864471959,0.9090140570395742,0.30961032990624177,0.00317088709547884,0.9969163887513932
ent_max,1490,-0.023018720755265933,0.19829853236768358,0.0039033462571940424,-0.01173250234512411,0.6675321261597057,0.3111823003541391,0.007806692514388085,0.9969163887513932
opp_str,1490,0.024087753713968263,0.1988109141151444,0.39659227594747093,-0.050023731513627684,0.0518937186401077,0.3111823003541391,0.4461663104409048,0.37363477420877544
v_mean,1474,-0.02044320667141905,0.2540811179299124,0.05012388252266352,0.016163854521898984,0.5172371027138583,0.3811216768948686,0.0694022988775341,0.9969163887513932
preA_att_P,1490,-0.02009218309773341,0.2658156415301828,0.17877186624093544,0.026192425184968317,0.3603566519429119,0.3827745238034632,0.22984954230977414,0.9969163887513932
preA_rnd_P,1490,-0.019056408005277553,0.2891371394378246,0.01777080178841346,-0.0074562421713854484,0.8008086966170624,0.4003437315292956,0.029571493086076307,0.9969163887513932
out_pr,1476,-0.017512649898414244,0.32880607538133744,0.5077406401601303,-0.014164960608931559,0.5915467193064863,0.4384081005084499,0.5538988801746877,0.9969163887513932
is_home,1490,-0.016092372462589516,0.3559307092919064,0.3888158101086344,-0.03644047982515004,0.16705211960945388,0.4576251976610225,0.4461663104409048,0.8591251865629056
v_max,1474,-0.015801125335918993,0.3770851150542547,0.7308147181395006,0.01260258462192999,0.6255569142353843,0.4681056600673506,0.751695138657772,0.9969163887513932
str_diff,1490,0.011345320161736823,0.5155631300816521,0.13246306074004224,0.06347865677231658,0.014346047709720082,0.6082649646013278,0.17661741432005632,0.17215257251664098
opp_sub,1490,0.012334529044907637,0.5237837195178101,0.8856875921569157,-0.036967521260233824,0.43078469445685386,0.6082649646013278,0.8856875921569157,0.9969163887513932
out_deg,1476,0.00955322895186828,0.5942322408703424,0.019548152820497825,-0.0072303110365103266,0.7846511295593279,0.6685112709791353,0.030597108762518338,0.9969163887513932
preA_att_Z,1490,-0.0057784788781405205,0.7478988976476002,1.8851883599347783e-08,-0.010974192491233374,0.6926018155347171,0.8096676825114932,1.3462852790204338e-07,0.9969163887513932
preA_rnd_Z,1490,0.005376822639180157,0.764686144594188,2.4257526240159407e-09,-0.0012238731346423816,0.9647933465784406,0.8096676825114932,2.1831773616143466e-08,0.9969163887513932
pre_clus_P,1490,-0.0038277295671465066,0.8316655501524058,0.00679570417488502,0.011708273587183043,0.6639908294224697,0.8554274230139032,0.012232267514793036,0.9969163887513932
out_btw,1476,-0.0031071298103504358,0.8626577620920126,0.7190267318721555,-0.004273819567748805,0.8712983310022397,0.8626577620920126,0.751695138657772,0.9969163887513932
