K,m,s,b,snr_signal,theory,sim,sim_se,rel_err,lpo,lpo_se
8,40,0.05,0.595,0.18,0.1732,0.1722,0.0078,0.0058,-0.001,0.0077
8,40,0.1,0.595,0.35,0.3301,0.3083,0.0073,0.0705,-0.007,0.0076
8,40,0.15,0.595,0.52,0.463,0.4282,0.0068,0.0813,-0.009,0.0078
8,40,0.2,0.595,0.69,0.5704,0.5238,0.0061,0.089,-0.0037,0.0076
8,40,0.3,0.595,1.04,0.7211,0.679,0.0048,0.0621,-0.0066,0.0077
8,40,0.4,0.595,1.39,0.8127,0.7766,0.0036,0.0464,0.0014,0.0078
8,100,0.05,0.595,0.28,0.2679,0.2443,0.0075,0.0964,0.0028,0.0077
8,100,0.1,0.595,0.55,0.4839,0.4521,0.0066,0.0701,0.0005,0.0078
8,100,0.15,0.595,0.83,0.6368,0.6077,0.0053,0.0478,0.0043,0.0077
8,100,0.2,0.595,1.1,0.7394,0.7038,0.0044,0.0505,-0.0131,0.0078
8,100,0.3,0.595,1.65,0.8546,0.8374,0.0026,0.0205,0.0074,0.0078
8,100,0.4,0.595,2.21,0.9107,0.9018,0.0016,0.0099,0.0016,0.0077
8,300,0.05,0.595,0.48,0.4339,0.4104,0.0068,0.0574,0.004,0.0077
8,300,0.1,0.595,0.96,0.6916,0.6709,0.0047,0.0309,0.0034,0.0077
8,300,0.15,0.595,1.43,0.8196,0.8,0.003,0.0245,-0.0119,0.0079
8,300,0.2,0.595,1.9,0.8851,0.8768,0.0019,0.0095,0.0088,0.0077
8,300,0.3,0.595,2.85,0.9436,0.9392,0.0009,0.0047,-0.0137,0.0076
8,300,0.4,0.595,3.82,0.9674,0.9664,0.0005,0.0011,-0.0061,0.0077
24,40,0.05,0.445,0.11,0.1059,0.1016,0.0037,0.0431,-0.0007,0.0036
24,40,0.1,0.445,0.21,0.2083,0.2086,0.0037,0.0014,-0.0018,0.0035
24,40,0.15,0.445,0.32,0.3042,0.3066,0.0036,0.0077,0.0021,0.0035
24,40,0.2,0.445,0.43,0.3917,0.386,0.0035,0.0147,0.0037,0.0035
24,40,0.3,0.445,0.64,0.5384,0.5325,0.003,0.0112,0.001,0.0035
24,40,0.4,0.445,0.85,0.649,0.6452,0.0025,0.0059,0.0015,0.0035
24,100,0.05,0.445,0.17,0.1661,0.1653,0.0036,0.0051,0.0014,0.0036
24,100,0.1,0.445,0.34,0.3191,0.3205,0.0035,0.0043,-0.0016,0.0035
24,100,0.15,0.445,0.5,0.4507,0.4457,0.0032,0.0112,0.0007,0.0036
24,100,0.2,0.445,0.67,0.5584,0.5493,0.0028,0.0165,-0.007,0.0035
24,100,0.3,0.445,1.01,0.7107,0.7035,0.0021,0.0103,0.0053,0.0035
24,100,0.4,0.445,1.35,0.8033,0.7992,0.0015,0.0051,0.0008,0.0034
24,300,0.05,0.445,0.29,0.2801,0.28,0.0034,0.0003,-0.002,0.0035
24,300,0.1,0.445,0.58,0.5038,0.4974,0.0029,0.013,-0.0002,0.0035
24,300,0.15,0.445,0.87,0.6583,0.6536,0.0022,0.0072,-0.0009,0.0036
24,300,0.2,0.445,1.17,0.7591,0.7581,0.0017,0.0013,0.0028,0.0036
24,300,0.3,0.445,1.75,0.8682,0.8641,0.001,0.0047,0.0021,0.0035
24,300,0.4,0.445,2.34,0.9193,0.9178,0.0006,0.0017,-0.0012,0.0036
