config,comp,timing,n,snr_excl
W10_6x4,WC22,strategic,72,1.076190777513577
W10_6x4,WC22,regular,148,1.149643869052009
W10_6x4,WC22,late,97,1.1634219755085449
W10_6x4,Euro24,strategic,57,1.001745647153626
W10_6x4,Euro24,regular,104,1.074740413382326
W10_6x4,Euro24,late,75,1.3240752531453226
W10_6x4,Euro20,strategic,48,0.9571565316606766
W10_6x4,Euro20,regular,107,1.1300519388114332
W10_6x4,Euro20,late,65,1.1868049993143184
W10_6x4,ISL,strategic,131,1.0821825354285957
W10_6x4,ISL,regular,216,1.0882330963449038
W10_6x4,ISL,late,153,1.1584817236225102
W10_6x4,WSL,strategic,141,1.356557818286705
W10_6x4,WSL,regular,250,1.2617710150701271
W10_6x4,WSL,late,136,1.1136629723676663
W10_6x4,Bund23,strategic,25,1.0794258154794178
W10_6x4,Bund23,regular,73,1.106776950460858
W10_6x4,Bund23,late,51,1.331229242373972
W10_6x4,Bund15,strategic,45,1.0317400236369467
W10_6x4,Bund15,regular,50,1.1370450098411733
W10_6x4,Bund15,late,42,1.0933260088824774
W10_6x4,LaLiga15,strategic,409,1.058068704924273
W10_6x4,LaLiga15,regular,851,1.1685249254757184
W10_6x4,LaLiga15,late,405,1.054997482689037
W10_6x4,PL15,strategic,363,1.0570418797783394
W10_6x4,PL15,regular,700,0.9966041660414918
W10_6x4,PL15,late,439,1.0155212957558453
W10_6x4,SerieA15,strategic,421,1.2591671717399429
W10_6x4,SerieA15,regular,758,1.1072804589281595
W10_6x4,SerieA15,late,478,1.0026012661470851
W15_4x3,WC22,strategic,72,0.8320048774407128
W15_4x3,WC22,regular,86,2.778286384693207
W15_4x3,WC22,late,51,1.4783735378446137
W15_4x3,Euro24,strategic,57,1.0785346032704513
W15_4x3,Euro24,regular,104,2.3750559078040903
W15_4x3,Euro24,late,38,1.070357933308119
W15_4x3,Euro20,strategic,48,1.006162194356069
W15_4x3,Euro20,regular,107,1.2096990794099
W15_4x3,Euro20,late,25,2.0561902909527485
W15_4x3,ISL,strategic,132,1.1827404185164974
W15_4x3,ISL,regular,218,1.219699474693975
W15_4x3,ISL,late,80,1.424573584356531
W15_4x3,WSL,strategic,141,1.211769266637779
W15_4x3,WSL,regular,252,1.2246066986610675
W15_4x3,WSL,late,78,1.2084556703230855
W15_4x3,Bund23,strategic,25,0.9724635500717488
W15_4x3,Bund23,regular,71,1.2829963684893797
W15_4x3,Bund23,late,17,1.6701160792348198
W15_4x3,Bund15,strategic,45,1.0420521412992825
W15_4x3,Bund15,regular,41,1.814340975795646
W15_4x3,Bund15,late,16,1.563164747640359
W15_4x3,LaLiga15,strategic,409,1.0875879172900984
W15_4x3,LaLiga15,regular,850,1.1371910597992447
W15_4x3,LaLiga15,late,135,0.9938868984969604
W15_4x3,PL15,strategic,363,0.9284365121687692
W15_4x3,PL15,regular,703,1.1790126430408738
W15_4x3,PL15,late,198,1.6629589844054409
W15_4x3,SerieA15,strategic,421,1.127503405142293
W15_4x3,SerieA15,regular,752,1.6971938764570815
W15_4x3,SerieA15,late,203,1.347043052937816
W15_10x7,WC22,strategic,72,1.1251371422550538
W15_10x7,WC22,regular,86,2.4414838290455836
W15_10x7,WC22,late,51,1.9865730685102496
W15_10x7,Euro24,strategic,57,1.105463214561324
W15_10x7,Euro24,regular,104,2.126681815808004
W15_10x7,Euro24,late,38,1.411366011946782
W15_10x7,Euro20,strategic,48,1.0182366023014542
W15_10x7,Euro20,regular,108,1.1808909596281425
W15_10x7,Euro20,late,25,1.4232061480075688
W15_10x7,ISL,strategic,132,1.128545024840512
W15_10x7,ISL,regular,220,1.3313477893293657
W15_10x7,ISL,late,82,1.5565883131282805
W15_10x7,WSL,strategic,141,1.1658766954620838
W15_10x7,WSL,regular,252,1.1967403705522568
W15_10x7,WSL,late,78,1.2292307323755327
W15_10x7,Bund23,strategic,25,1.0423880270249022
W15_10x7,Bund23,regular,71,1.2850427006668284
W15_10x7,Bund23,late,18,1.3505178390907555
W15_10x7,Bund15,strategic,45,1.068954195329997
W15_10x7,Bund15,regular,41,1.6842464587831267
W15_10x7,Bund15,late,16,1.5855792127048725
W15_10x7,LaLiga15,strategic,409,1.08172597374522
W15_10x7,LaLiga15,regular,850,1.2948307533998833
W15_10x7,LaLiga15,late,135,1.2714373340081315
W15_10x7,PL15,strategic,363,1.0923627209262832
W15_10x7,PL15,regular,704,1.208242684017368
W15_10x7,PL15,late,198,1.2966510302805907
W15_10x7,SerieA15,strategic,421,1.026953435330272
W15_10x7,SerieA15,regular,752,1.5101701477952305
W15_10x7,SerieA15,late,203,1.442262530385763
W12_6x4,WC22,strategic,72,1.013
W12_6x4,WC22,regular,149,1.744
W12_6x4,WC22,late,85,1.141
W12_6x4,Euro24,strategic,57,1.025
W12_6x4,Euro24,regular,104,1.385
W12_6x4,Euro24,late,61,1.473
W12_6x4,Euro20,strategic,48,0.981
W12_6x4,Euro20,regular,107,1.1
W12_6x4,Euro20,late,52,1.094
W12_6x4,ISL,strategic,132,1.06
W12_6x4,ISL,regular,217,1.256
W12_6x4,ISL,late,132,1.318
W12_6x4,WSL,strategic,141,1.197
W12_6x4,WSL,regular,252,1.091
W12_6x4,WSL,late,116,1.297
W12_6x4,Bund23,strategic,25,1.048
W12_6x4,Bund23,regular,73,1.153
W12_6x4,Bund23,late,40,1.277
W12_6x4,Bund15,strategic,45,1.061
W12_6x4,Bund15,regular,50,1.38
W12_6x4,Bund15,late,32,1.501
W12_6x4,LaLiga15,strategic,409,1.079
W12_6x4,LaLiga15,regular,852,1.343
W12_6x4,LaLiga15,late,318,1.276
W12_6x4,PL15,strategic,363,1.063
W12_6x4,PL15,regular,703,1.285
W12_6x4,PL15,late,356,1.117
W12_6x4,SerieA15,strategic,421,1.189
W12_6x4,SerieA15,regular,759,1.192
W12_6x4,SerieA15,late,373,1.445
