part,timing,seed,n,N_resample,snr_excl,p,headline_snr,headline_p,note,mc_mean,mc_sd,pub35,sd_from_mc_pub35,pub54,sd_from_mc_pub54,n_rep,h0_mean,h0_q025,h0_q975,type1_err,analytic_floor
repro_check,strategic,20260613,425,73,1.0522,0.39,1.052,0.39,MATCH,,,,,,,,,,,,
repro_check,regular,20260613,404,73,1.561,0.0025,1.561,0.0025,MATCH,,,,,,,,,,,,
repro_check,late,20260613,73,73,1.5944,0.0075,1.594,0.0075,MATCH,,,,,,,,,,,,
mc_seed,strategic,20260601,425,73,1.051,0.3675,,,,,,,,,,,,,,,
mc_seed,regular,20260601,404,73,1.5933,0.0075,,,,,,,,,,,,,,,
mc_seed,late,20260601,73,73,1.6318,0.005,,,,,,,,,,,,,,,
mc_seed,strategic,20260602,425,73,1.0405,0.3925,,,,,,,,,,,,,,,
mc_seed,regular,20260602,404,73,1.5964,0.0025,,,,,,,,,,,,,,,
mc_seed,late,20260602,73,73,1.6231,0.01,,,,,,,,,,,,,,,
mc_seed,strategic,20260603,425,73,1.0297,0.4125,,,,,,,,,,,,,,,
mc_seed,regular,20260603,404,73,1.5941,0.0075,,,,,,,,,,,,,,,
mc_seed,late,20260603,73,73,1.6241,0.0125,,,,,,,,,,,,,,,
mc_seed,strategic,20260604,425,73,1.0369,0.4175,,,,,,,,,,,,,,,
mc_seed,regular,20260604,404,73,1.6354,0.0025,,,,,,,,,,,,,,,
mc_seed,late,20260604,73,73,1.6062,0.01,,,,,,,,,,,,,,,
mc_seed,strategic,20260605,425,73,1.0445,0.3625,,,,,,,,,,,,,,,
mc_seed,regular,20260605,404,73,1.5877,0.01,,,,,,,,,,,,,,,
mc_seed,late,20260605,73,73,1.5961,0.0075,,,,,,,,,,,,,,,
mc_seed,strategic,20260606,425,73,1.0453,0.36,,,,,,,,,,,,,,,
mc_seed,regular,20260606,404,73,1.5923,0.005,,,,,,,,,,,,,,,
mc_seed,late,20260606,73,73,1.5862,0.0125,,,,,,,,,,,,,,,
mc_seed,strategic,20260607,425,73,1.0638,0.3325,,,,,,,,,,,,,,,
mc_seed,regular,20260607,404,73,1.5984,0.0,,,,,,,,,,,,,,,
mc_seed,late,20260607,73,73,1.6027,0.0075,,,,,,,,,,,,,,,
mc_seed,strategic,20260608,425,73,1.0544,0.355,,,,,,,,,,,,,,,
mc_seed,regular,20260608,404,73,1.5871,0.01,,,,,,,,,,,,,,,
mc_seed,late,20260608,73,73,1.5904,0.0075,,,,,,,,,,,,,,,
mc_summary,strategic,20260601-20260608,425,73,,,,,,1.0458,0.0106,1.0485,0.26,1.052,0.59,,,,,,
mc_summary,regular,20260601-20260608,404,73,,,,,,1.5981,0.0156,1.5745,1.51,1.561,2.38,,,,,,
mc_summary,late,20260601-20260608,73,73,,,,,,1.6076,0.0169,1.6438,2.14,1.594,0.8,,,,,,
h0_floor,strategic,20260808,425,73,,,,,,,,,,,,200.0,0.9979,0.9469,1.0647,0.0,0.93
h0_floor,regular,20260808,404,73,,,,,,,,,,,,200.0,1.0011,0.947,1.0731,0.0,0.92
h0_floor,late,20260808,73,73,,,,,,,,,,,,200.0,0.9986,0.8294,1.239,0.01,0.71
diag_variant,strategic,20260613,425,73,1.0818,0.315,1.052,0.39,,,,,,,,,,,,,
diag_variant,regular,20260613,404,73,1.5385,0.0025,1.561,0.0025,,,,,,,,,,,,,
diag_variant,late,20260613,73,73,1.6008,0.0025,1.594,0.0075,,,,,,,,,,,,,
