source,center_min,n,snr,lo,hi
La Liga 2023/24,50.0,232,1.023545374943833,0.6807769078858583,1.4020280082619891
La Liga 2023/24,52.5,113,1.1082177102051662,0.8102743085735216,1.4605352352775514
La Liga 2023/24,55.0,189,1.0487690494146433,0.6808475037677058,1.4359413717237646
La Liga 2023/24,57.5,313,1.027128942139546,0.6955434679552701,1.4298665794308223
La Liga 2023/24,60.0,361,1.0862329379879785,0.7254189787700488,1.5616273592353125
La Liga 2023/24,62.5,372,1.3180494358137507,0.8283151913211755,1.8893397340272862
La Liga 2023/24,65.0,359,1.441436150964235,0.9450305242585473,2.001976631578995
La Liga 2023/24,67.5,270,1.8380204726716571,1.3248869310588625,2.3722520770528743
La Liga 2023/24,70.0,220,2.0065106487521422,1.5187605221036564,2.493717630714603
La Liga 2023/24,72.5,180,1.6511139273410689,1.155567929396055,2.183024605122445
La Liga 2023/24,75.0,145,1.4203956480673994,1.032441135887792,1.8912730906521502
La Liga 2023/24,77.5,114,1.3344503177419504,0.9995829964212664,1.6801189861068668
ISL,60.0,108,1.4725050972712064,1.0669054621655865,1.9495884272695152
ISL,62.5,115,1.4138473255618669,1.004369637698795,1.8850937158015202
ISL,65.0,122,1.2943749942712182,0.9859602054341542,1.6818329253033537
ISL,67.5,128,1.3256696409419853,0.9758838683649673,1.7348540325182737
ISL,70.0,115,1.4645402347998955,1.1668057696043228,1.7807292887903008
ISL,72.5,137,1.4172768927822026,1.137583244407723,1.7459636111809034
ISL,75.0,127,1.3535322392521016,1.0659789813857554,1.699439417023553
ISL,77.5,101,1.3171058324211002,1.0090258855796386,1.653373983356484
WSL,57.5,99,1.012386809396917,0.7472652427514533,1.3132406778718837
WSL,60.0,120,1.0220583715685188,0.7088561706945689,1.4268320664936973
WSL,62.5,155,1.1298145486953912,0.7710677608346028,1.62957091353835
WSL,65.0,153,1.1765113231028095,0.7967664875781078,1.6307757643088696
WSL,67.5,154,1.1700655204882262,0.8497747279888385,1.5581218917876638
WSL,70.0,152,1.1867669777579097,0.8407735237297014,1.5423986354540564
WSL,72.5,146,1.421433476178544,1.0234662225146025,1.882657718090495
WSL,75.0,148,1.387953800251961,1.0277134200428826,1.8529549475321725
WSL,77.5,116,1.310577457462458,0.9665970765140008,1.6995759463005449
LaLiga15,50.0,207,1.0511316544026523,0.7065216256030602,1.4411375256494703
LaLiga15,52.5,163,1.0220914042534603,0.6541249591877247,1.40733727557195
LaLiga15,55.0,225,0.9811008878139045,0.6770170247027496,1.3408587821412465
LaLiga15,57.5,344,1.0668355649703314,0.7099683815975882,1.5022528025066655
LaLiga15,60.0,404,1.009758395211031,0.6817126143082183,1.4172696591075151
LaLiga15,62.5,460,1.1579299687665483,0.7758348021175451,1.6256496915960155
LaLiga15,65.0,525,1.249921263220664,0.8426333513162804,1.669119790689269
LaLiga15,67.5,521,1.3678118282040335,0.9902153636049605,1.7768179591732787
LaLiga15,70.0,531,1.3644138191910566,0.9679522442114095,1.8075174367671123
LaLiga15,72.5,544,1.400828518373647,1.0022061936155846,1.848370306979743
LaLiga15,75.0,448,1.2813332983883845,0.9296014720051419,1.7378566054535907
LaLiga15,77.5,304,1.2373048299188498,0.8341618827503493,1.6961475001510966
LaLiga15,80.0,194,1.280384879765699,0.908976158184042,1.7374972298953926
PL15,50.0,204,0.934519442392964,0.6300305215957827,1.2983920984701034
PL15,52.5,103,1.0388730533005421,0.7362175015410812,1.4078834771549704
PL15,55.0,162,1.084885905968738,0.7303995871788256,1.467764689883322
PL15,57.5,251,1.0818080573352673,0.7201904513439511,1.485863077064568
PL15,60.0,306,1.064428665897825,0.7204245427017144,1.4606540562618864
PL15,62.5,365,1.093852344871094,0.7388099990260306,1.5334204169754013
PL15,65.0,401,1.1633550757028057,0.7829974192430773,1.6456948046817919
PL15,67.5,425,1.2481178332200473,0.8484556789010763,1.7104001379570197
PL15,70.0,466,1.2240080740273118,0.821899857049718,1.71206094866568
PL15,72.5,502,1.1523303887751308,0.7717456996735166,1.6389549823686171
PL15,75.0,472,1.245800455090509,0.8766584524584798,1.7169843184955955
PL15,77.5,362,1.1956040895368782,0.803874276225988,1.6458825133670676
PL15,80.0,239,1.1296424881435974,0.7824881079349162,1.6102652975877478
SerieA15,50.0,197,0.9970531956110327,0.6979554881339881,1.3882062520640972
SerieA15,52.5,194,0.9144092302323308,0.6186520674512809,1.268356293907821
SerieA15,55.0,260,0.9701523314290506,0.6529952060967115,1.3716119531731787
SerieA15,57.5,343,1.032130153135397,0.6812094765891633,1.4533590517935333
SerieA15,60.0,396,1.0877100501057702,0.7215777631344354,1.5020677257648427
SerieA15,62.5,428,1.0762994948301952,0.7063299409440651,1.5641857096971081
SerieA15,65.0,450,1.0580362520073465,0.7172607535543903,1.4978301331700903
SerieA15,67.5,497,1.085940791368418,0.7341310258211192,1.529507393984713
SerieA15,70.0,496,1.1394421322259356,0.784920997927796,1.6331918279963948
SerieA15,72.5,507,1.256420312402055,0.8264531000665934,1.7965772045072113
SerieA15,75.0,484,1.3166562779503164,0.8836804639632192,1.8245437602509769
SerieA15,77.5,331,1.4217631718157724,0.9769773629421106,1.9243860393290935
SerieA15,80.0,234,1.395714541677008,0.9792367251445604,1.8763076994078929
