vbin,npass_med,reorg_mean,reorg_se,n,r2_nonlinear
0,15.0,0.6292934549344079,0.011283380531534175,159,0.5135599861676283
1,22.0,0.5221907119152529,0.008615845876702347,159,0.5135599861676283
2,27.0,0.47024901507460715,0.007595579367782064,144,0.5135599861676283
3,33.0,0.4337152204872888,0.006399160172165341,156,0.5135599861676283
4,38.0,0.41312501023163156,0.007106863294354001,134,0.5135599861676283
5,43.0,0.40309247788904423,0.006938578157881044,160,0.5135599861676283
6,50.0,0.38431877745974724,0.007317712309574275,148,0.5135599861676283
7,57.0,0.3629460994430218,0.006935486167587771,137,0.5135599861676283
8,65.0,0.34170441782809435,0.006479996131439115,145,0.5135599861676283
9,80.0,0.3159376464049182,0.005886846275886427,148,0.5135599861676283
