block,item,group,metric,value
P1_pred_vs_obs,W15_6x4,early,snr_obs_mean,1.0467579506581282
P1_pred_vs_obs,W15_6x4,early,snr_pred_mean,1.0467579506581282
P1_pred_vs_obs,W15_6x4,early,n_obs_lt_pred,
P1_pred_vs_obs,W15_6x4,early,n_comps,10.0
P1_pred_vs_obs,W15_6x4,early,retention_obs_median,1.0
P1_pred_vs_obs,W15_6x4,early,retention_pred,1.0
P1_pred_vs_obs,W15_6x4,early,n_retention_comps,10.0
P1_pred_vs_obs,W15_6x4,early,power_loss_gap_factor,
P1_pred_vs_obs,W15_6x4,early,n_inflation_vs_W15_mean,1.0
P1_pred_vs_obs,W15_6x4,mid,snr_obs_mean,1.463448087470772
P1_pred_vs_obs,W15_6x4,mid,snr_pred_mean,1.463448087470772
P1_pred_vs_obs,W15_6x4,mid,n_obs_lt_pred,
P1_pred_vs_obs,W15_6x4,mid,n_comps,10.0
P1_pred_vs_obs,W15_6x4,mid,retention_obs_median,1.0
P1_pred_vs_obs,W15_6x4,mid,retention_pred,1.0
P1_pred_vs_obs,W15_6x4,mid,n_retention_comps,10.0
P1_pred_vs_obs,W15_6x4,mid,power_loss_gap_factor,
P1_pred_vs_obs,W15_6x4,mid,n_inflation_vs_W15_mean,1.0
P1_pred_vs_obs,W15_6x4,late,snr_obs_mean,1.428198844758402
P1_pred_vs_obs,W15_6x4,late,snr_pred_mean,1.428198844758402
P1_pred_vs_obs,W15_6x4,late,n_obs_lt_pred,
P1_pred_vs_obs,W15_6x4,late,n_comps,10.0
P1_pred_vs_obs,W15_6x4,late,retention_obs_median,1.0
P1_pred_vs_obs,W15_6x4,late,retention_pred,1.0
P1_pred_vs_obs,W15_6x4,late,n_retention_comps,10.0
P1_pred_vs_obs,W15_6x4,late,power_loss_gap_factor,
P1_pred_vs_obs,W15_6x4,late,n_inflation_vs_W15_mean,1.0
P1_pred_vs_obs,W15_6x4,all,rho_density_P,0.892499
P1_pred_vs_obs,W15_6x4,all,rho_density_Z,0.927177
P1_pred_vs_obs,W12_6x4,early,snr_obs_mean,1.0715999999999999
